onset	duration	trial_type_a	trial_type_b
0.5	3	RpMiss	RpCMpF
4.0	3	RpFA	RpFpH
7.5	3	RpMiss	RpCMpH
11.0	3	RpHit	RpHpH
14.5	3	RpFA	RpFpH
18.0	3	RpFA	RpFpH
21.5	3	RpHit	NRpXpX
25.0	3	NR	NRpXpX
28.5	3	RpMiss	RpCMpF
32.0	3	RpHit	RpHpH
35.5	3	RpFA	RpFpH
39.0	3	RpHit	RpHpF
42.5	3	RpHit	RpHpH
46.0	3	RpCR	RpCMpH
49.5	3	RpHit	RpHpH
53.0	3	RpHit	RpHpH
56.5	3	RpHit	NRpXpX
60.0	3	RpMiss	RpCMpH
63.5	3	RpHit	RpHpH
67.0	3	RpFA	RpFpH
70.5	3	RpHit	RpHpH
74.0	3	RpFA	RpFpH
77.5	3	RpMiss	RpCMpH
81.0	3	RpFA	RpFpF
84.5	3	RpHit	RpHpH
88.0	3	RpFA	RpFpH
91.5	3	RpCR	RpCMpH
95.0	3	RpHit	RpHpH
98.5	3	RpFA	RpFpF
102.0	3	RpHit	RpHpH
105.5	3	RpMiss	RpCMpH
109.0	3	RpFA	RpFpF
112.5	3	RpHit	RpHpH
116.0	3	RpHit	RpHpH
119.5	3	RpMiss	RpCMpF
123.0	3	RpHit	RpHpF
126.5	3	RpFA	RpFpH
130.0	3	NR	NRpXpX
133.5	3	RpHit	RpHpH
137.0	3	RpCR	RpCMpF
140.5	3	RpHit	RpHpH
144.0	3	RpHit	RpHpF
147.5	3	RpFA	RpFpH
151.0	3	RpHit	RpHpH
154.5	3	RpFA	RpFpH
158.0	3	RpHit	RpHpH
161.5	3	RpHit	RpHpH
165.0	3	RpFA	RpFpH
168.5	3	RpCR	RpCMpH
172.0	3	RpCR	RpCMpF
175.5	3	RpFA	RpFpH
179.0	3	RpMiss	RpCMpH
182.5	3	RpHit	RpHpF
186.0	3	RpMiss	RpCMpH
189.5	3	RpFA	RpFpH
193.0	3	RpFA	RpFpF
196.5	3	RpHit	NRpXpX
200.0	3	RpFA	RpFpF
203.5	3	RpCR	RpCMpH
207.0	3	RpFA	RpFpF
210.5	3	RpHit	RpHpH
214.0	3	RpHit	RpHpF
217.5	3	RpHit	RpHpH
