onset	duration	trial_type_a	trial_type_b
221.0	3	RpMiss	RpCMpF
224.5	3	RpMiss	RpCMpH
228.0	3	RpFA	RpFpF
231.5	3	RpMiss	RpCMpF
235.0	3	RpFA	RpFpH
238.5	3	RpHit	RpHpH
242.0	3	RpHit	RpHpH
245.5	3	RpFA	RpFpH
249.0	3	RpHit	RpHpH
252.5	3	NR	NRpXpX
256.0	3	RpMiss	RpCMpF
259.5	3	NR	NRpXpX
263.0	3	RpFA	RpFpH
266.5	3	RpFA	RpFpF
270.0	3	RpFA	RpFpF
273.5	3	RpFA	RpFpF
277.0	3	RpHit	RpHpH
280.5	3	RpCR	RpCMpF
284.0	3	RpCR	RpCMpF
287.5	3	RpHit	RpHpF
291.0	3	RpHit	RpHpF
294.5	3	RpMiss	RpCMpH
298.0	3	RpFA	RpFpF
301.5	3	RpHit	RpHpH
305.0	3	RpHit	RpHpF
308.5	3	RpMiss	RpCMpH
312.0	3	RpFA	RpFpF
315.5	3	RpHit	RpHpH
319.0	3	RpHit	RpHpF
322.5	3	RpCR	RpCMpH
326.0	3	RpFA	RpFpH
329.5	3	RpHit	RpHpH
333.0	3	RpFA	RpFpH
336.5	3	RpMiss	RpCMpH
340.0	3	RpHit	RpHpF
343.5	3	NR	NRpXpX
347.0	3	RpFA	NRpXpX
350.5	3	RpHit	RpHpF
354.0	3	RpHit	RpHpH
357.5	3	NR	NRpXpX
361.0	3	RpHit	RpHpF
364.5	3	RpMiss	RpCMpH
368.0	3	RpHit	RpHpH
371.5	3	RpFA	RpFpH
375.0	3	RpHit	RpHpF
378.5	3	NR	NRpXpX
382.0	3	RpFA	RpFpF
385.5	3	RpFA	RpFpH
389.0	3	RpCR	RpCMpH
392.5	3	NR	NRpXpX
396.0	3	RpHit	RpHpH
399.5	3	RpCR	RpCMpH
403.0	3	RpFA	RpFpH
406.5	3	RpMiss	RpCMpF
410.0	3	RpFA	RpFpH
413.5	3	RpFA	RpFpF
417.0	3	NR	NRpXpX
420.5	3	RpFA	RpFpH
424.0	3	RpCR	RpCMpH
427.5	3	RpHit	RpHpH
431.0	3	RpFA	RpFpF
434.5	3	RpHit	RpHpH
438.0	3	RpHit	RpHpF
441.5	3	RpFA	RpFpH
445.0	3	RpHit	RpHpF
448.5	3	RpHit	RpHpH
452.0	3	RpHit	RpHpF
455.5	3	RpMiss	RpCMpF
459.0	3	RpMiss	RpCMpF
462.5	3	RpHit	RpHpH
466.0	3	RpFA	RpFpH
469.5	3	RpHit	RpHpH
473.0	3	RpMiss	RpCMpH
476.5	3	RpFA	RpFpF
480.0	3	RpHit	RpHpH
483.5	3	RpHit	RpHpF
487.0	3	RpHit	RpHpH
490.5	3	RpHit	RpHpH
494.0	3	RpFA	RpFpF
497.5	3	RpHit	RpHpH
501.0	3	RpMiss	RpCMpF
504.5	3	RpMiss	RpCMpH
508.0	3	RpHit	RpHpF
511.5	3	RpMiss	RpCMpH
515.0	3	RpMiss	RpCMpH
518.5	3	RpHit	RpHpH
522.0	3	RpFA	RpFpF
525.5	3	NR	NRpXpX
529.0	3	RpCR	RpCMpH
532.5	3	RpFA	RpFpF
536.0	3	RpMiss	RpCMpH
539.5	3	RpHit	RpHpF
543.0	3	RpCR	RpCMpH
546.5	3	RpFA	RpFpH
550.0	3	NR	NRpXpX
553.5	3	RpHit	RpHpF
557.0	3	RpHit	RpHpH
560.5	3	RpHit	RpHpH
564.0	3	RpMiss	RpCMpH
567.5	3	RpMiss	RpCMpH
571.0	3	RpFA	RpFpF
574.5	3	NR	NRpXpX
578.0	3	RpMiss	RpCMpF
581.5	3	RpMiss	NRpXpX
585.0	3	RpCR	RpCMpF
588.5	3	RpHit	RpHpH
592.0	3	RpMiss	RpCMpH
595.5	3	RpHit	RpHpH
599.0	3	RpHit	RpHpF
602.5	3	RpCR	RpCMpF
606.0	3	RpCR	RpCMpF
609.5	3	RpMiss	RpCMpH
613.0	3	NR	NRpXpX
616.5	3	NR	NRpXpX
620.0	3	RpMiss	RpCMpH
623.5	3	RpHit	RpHpF
627.0	3	RpFA	RpFpF
630.5	3	RpFA	RpFpF
634.0	3	RpHit	RpHpH
637.5	3	RpHit	RpHpH
641.0	3	RpHit	RpHpH
644.5	3	RpFA	RpFpF
648.0	3	RpFA	RpFpH
651.5	3	NR	NRpXpX
655.0	3	RpFA	RpFpF
658.5	3	RpMiss	RpCMpH
662.0	3	RpFA	RpFpH
665.5	3	NR	NRpXpX
669.0	3	RpHit	RpHpH
672.5	3	RpFA	RpFpF
676.0	3	RpFA	RpFpH
679.5	3	RpHit	RpHpH
683.0	3	RpHit	RpHpF
686.5	3	RpHit	RpHpF
690.0	3	RpFA	RpFpH
693.5	3	NR	NRpXpX
697.0	3	RpFA	RpFpH
700.5	3	RpCR	RpCMpH
704.0	3	RpFA	RpFpH
707.5	3	RpHit	RpHpH
711.0	3	NR	NRpXpX
714.5	3	RpMiss	RpCMpF
718.0	3	RpHit	RpHpH
721.5	3	RpFA	RpFpH
725.0	3	RpFA	RpFpH
728.5	3	RpFA	RpFpH
732.0	3	RpHit	RpHpH
735.5	3	RpHit	RpHpH
739.0	3	RpCR	RpCMpH
742.5	3	RpFA	RpFpF
746.0	3	NR	NRpXpX
749.5	3	NR	NRpXpX
753.0	3	RpMiss	RpCMpH
