onset	duration	trial_type_a	trial_type_b
0.5	3	RpMiss	RpCMpH
4.0	3	NR	NRpXpX
7.5	3	NR	NRpXpX
11.0	3	RpMiss	RpCMpH
14.5	3	RpMiss	RpCMpH
18.0	3	RpFA	RpFpH
21.5	3	RpCR	RpCMpF
25.0	3	RpHit	RpHpH
28.5	3	RpMiss	RpCMpF
32.0	3	RpHit	RpHpH
35.5	3	RpMiss	RpCMpH
39.0	3	RpFA	RpFpF
42.5	3	RpMiss	RpCMpH
46.0	3	RpFA	RpFpH
49.5	3	RpHit	RpHpH
53.0	3	RpMiss	RpCMpF
56.5	3	RpFA	RpFpF
60.0	3	RpHit	RpHpH
63.5	3	RpMiss	RpCMpH
67.0	3	RpMiss	RpCMpF
70.5	3	RpHit	RpHpH
74.0	3	RpMiss	RpCMpH
77.5	3	RpHit	RpHpH
81.0	3	RpFA	RpFpF
84.5	3	RpFA	RpFpF
88.0	3	RpMiss	RpCMpH
91.5	3	RpFA	RpFpH
95.0	3	RpHit	RpHpH
98.5	3	RpFA	RpFpF
102.0	3	RpHit	RpHpH
105.5	3	RpHit	RpHpH
109.0	3	RpFA	RpFpF
112.5	3	RpMiss	RpCMpH
116.0	3	RpMiss	RpCMpF
119.5	3	RpFA	RpFpF
123.0	3	RpHit	RpHpH
126.5	3	RpFA	RpFpF
130.0	3	RpFA	RpFpF
133.5	3	RpFA	RpFpH
137.0	3	RpHit	RpHpH
140.5	3	RpHit	RpHpF
144.0	3	RpHit	RpHpH
147.5	3	RpHit	RpHpH
151.0	3	RpHit	RpHpH
154.5	3	RpMiss	RpCMpH
158.0	3	RpHit	RpHpH
161.5	3	RpFA	RpFpH
165.0	3	RpHit	RpHpH
168.5	3	RpMiss	RpCMpH
172.0	3	RpCR	RpCMpF
175.5	3	RpHit	RpHpH
179.0	3	RpFA	RpFpF
182.5	3	RpFA	RpFpH
186.0	3	NR	NRpXpX
189.5	3	RpCR	RpCMpF
193.0	3	RpMiss	RpCMpF
196.5	3	RpFA	RpFpF
200.0	3	RpFA	RpFpF
203.5	3	RpHit	RpHpH
207.0	3	RpMiss	RpCMpH
210.5	3	RpHit	RpHpF
214.0	3	RpMiss	RpCMpF
217.5	3	RpCR	RpCMpF
221.0	3	RpHit	RpHpH
224.5	3	RpFA	RpFpF
228.0	3	RpFA	RpFpF
231.5	3	RpCR	RpCMpF
235.0	3	RpHit	RpHpH
238.5	3	RpCR	RpCMpH
242.0	3	RpCR	RpCMpH
245.5	3	RpMiss	RpCMpH
249.0	3	RpFA	RpFpF
252.5	3	RpHit	RpHpF
256.0	3	RpCR	RpCMpH
259.5	3	RpHit	RpHpH
263.0	3	RpCR	RpCMpH
266.5	3	RpMiss	RpCMpH
270.0	3	RpFA	RpFpH
273.5	3	RpMiss	RpCMpH
277.0	3	NR	NRpXpX
280.5	3	RpFA	RpFpF
284.0	3	RpCR	RpCMpF
287.5	3	RpHit	RpHpH
291.0	3	RpFA	RpFpF
294.5	3	RpHit	RpHpH
298.0	3	RpMiss	RpCMpH
301.5	3	RpCR	RpCMpH
305.0	3	RpMiss	RpCMpH
308.5	3	RpHit	RpHpH
312.0	3	RpHit	RpHpH
315.5	3	RpMiss	RpCMpH
319.0	3	RpMiss	RpCMpH
322.5	3	RpMiss	RpCMpH
326.0	3	RpCR	RpCMpH
329.5	3	RpMiss	RpCMpF
333.0	3	RpFA	RpFpF
336.5	3	RpMiss	RpCMpH
340.0	3	RpHit	RpHpH
343.5	3	RpFA	RpFpH
347.0	3	RpHit	RpHpH
350.5	3	RpMiss	RpCMpF
354.0	3	RpHit	RpHpH
357.5	3	RpCR	RpCMpH
361.0	3	RpFA	RpFpF
364.5	3	RpMiss	RpCMpF
368.0	3	RpFA	RpFpF
371.5	3	RpHit	RpHpH
375.0	3	NR	NRpXpX
378.5	3	RpHit	RpHpF
382.0	3	NR	NRpXpX
385.5	3	RpHit	RpHpH
389.0	3	RpHit	RpHpH
392.5	3	RpHit	RpHpH
396.0	3	RpFA	RpFpH
399.5	3	RpMiss	RpCMpH
403.0	3	RpCR	RpCMpF
406.5	3	RpHit	RpHpF
410.0	3	RpMiss	RpCMpH
413.5	3	RpHit	RpHpH
417.0	3	RpHit	RpHpH
420.5	3	RpMiss	RpCMpF
424.0	3	RpHit	RpHpF
427.5	3	RpFA	RpFpH
431.0	3	RpHit	RpHpF
434.5	3	RpFA	RpFpF
438.0	3	RpHit	RpHpF
441.5	3	RpCR	RpCMpF
445.0	3	RpHit	RpHpH
448.5	3	RpHit	RpHpH
452.0	3	NR	NRpXpX
455.5	3	RpFA	RpFpF
459.0	3	RpFA	RpFpH
462.5	3	NR	NRpXpX
466.0	3	RpMiss	RpCMpH
469.5	3	RpMiss	RpCMpH
473.0	3	RpHit	RpHpH
476.5	3	RpMiss	NRpXpX
480.0	3	RpMiss	NRpXpX
483.5	3	RpHit	RpHpF
487.0	3	RpHit	RpHpH
490.5	3	RpCR	RpCMpH
494.0	3	RpCR	RpCMpF
497.5	3	RpHit	RpHpH
501.0	3	RpHit	RpHpF
504.5	3	RpHit	RpHpH
508.0	3	NR	NRpXpX
511.5	3	RpMiss	RpCMpH
515.0	3	RpFA	RpFpF
518.5	3	RpHit	RpHpF
522.0	3	RpMiss	RpCMpH
525.5	3	RpHit	RpHpH
529.0	3	RpHit	RpHpH
532.5	3	RpCR	RpCMpH
536.0	3	RpFA	RpFpF
539.5	3	RpHit	RpHpF
543.0	3	RpHit	RpHpH
546.5	3	RpHit	RpHpF
550.0	3	RpMiss	RpCMpH
553.5	3	RpMiss	RpCMpF
557.0	3	RpHit	RpHpH
560.5	3	RpMiss	RpCMpH
564.0	3	NR	NRpXpX
567.5	3	RpHit	RpHpH
571.0	3	RpHit	RpHpH
574.5	3	RpHit	RpHpF
578.0	3	RpMiss	RpCMpH
581.5	3	RpMiss	RpCMpH
585.0	3	RpMiss	RpCMpF
588.5	3	RpFA	RpFpF
592.0	3	RpHit	RpHpH
595.5	3	RpHit	RpHpH
599.0	3	RpFA	RpFpF
602.5	3	RpHit	RpHpF
606.0	3	RpFA	RpFpH
609.5	3	RpHit	RpHpH
613.0	3	RpHit	RpHpF
616.5	3	RpMiss	RpCMpH
620.0	3	RpHit	RpHpF
623.5	3	RpMiss	RpCMpF
627.0	3	RpHit	RpHpH
630.5	3	RpHit	RpHpH
634.0	3	RpHit	RpHpH
637.5	3	RpMiss	RpCMpF
641.0	3	RpFA	RpFpF
644.5	3	RpHit	RpHpH
648.0	3	RpHit	RpHpH
651.5	3	RpHit	RpHpH
655.0	3	RpCR	RpCMpH
658.5	3	NR	NRpXpX
662.0	3	RpHit	RpHpH
665.5	3	RpCR	RpCMpF
669.0	3	RpFA	RpFpF
672.5	3	RpHit	RpHpH
676.0	3	NR	NRpXpX
679.5	3	RpHit	RpHpH
683.0	3	NR	NRpXpX
686.5	3	RpFA	RpFpH
690.0	3	RpMiss	RpCMpH
693.5	3	RpMiss	RpCMpF
697.0	3	RpFA	RpFpH
700.5	3	RpFA	RpFpH
704.0	3	RpHit	RpHpH
707.5	3	RpHit	RpHpH
711.0	3	NR	NRpXpX
714.5	3	RpFA	RpFpH
718.0	3	RpMiss	RpCMpH
721.5	3	RpHit	RpHpF
725.0	3	RpFA	RpFpF
728.5	3	RpHit	RpHpF
732.0	3	RpFA	RpFpF
735.5	3	NR	NRpXpX
739.0	3	RpMiss	RpCMpH
742.5	3	RpMiss	RpCMpH
746.0	3	NR	NRpXpX
749.5	3	RpHit	RpHpH
753.0	3	RpMiss	RpCMpH
