onset	duration	trial_type_a	trial_type_b
0.5	3	RpCR	NRpXpX
4.0	3	RpHit	RpHpH
7.5	3	NR	NRpXpX
11.0	3	RpFA	RpFpF
14.5	3	RpMiss	RpCMpH
18.0	3	RpCR	RpCMpH
21.5	3	NR	NRpXpX
25.0	3	NR	NRpXpX
28.5	3	RpHit	RpHpF
32.0	3	NR	NRpXpX
35.5	3	RpHit	NRpXpX
39.0	3	RpHit	RpHpF
42.5	3	RpHit	NRpXpX
46.0	3	RpMiss	RpCMpH
49.5	3	RpCR	RpCMpH
53.0	3	RpHit	NRpXpX
56.5	3	RpHit	NRpXpX
60.0	3	RpCR	RpCMpH
63.5	3	RpMiss	RpCMpH
67.0	3	RpFA	RpFpH
70.5	3	NR	NRpXpX
74.0	3	RpHit	NRpXpX
77.5	3	RpMiss	RpCMpF
81.0	3	RpCR	RpCMpH
84.5	3	RpHit	RpHpH
88.0	3	RpFA	RpFpF
91.5	3	NR	NRpXpX
95.0	3	RpMiss	RpCMpF
98.5	3	RpHit	RpHpH
102.0	3	RpHit	RpHpH
105.5	3	NR	NRpXpX
109.0	3	RpCR	RpCMpH
112.5	3	NR	NRpXpX
116.0	3	RpCR	NRpXpX
119.5	3	RpCR	NRpXpX
123.0	3	RpMiss	RpCMpH
126.5	3	RpFA	RpFpH
130.0	3	RpMiss	RpCMpF
133.5	3	NR	NRpXpX
137.0	3	RpMiss	RpCMpF
140.5	3	RpHit	NRpXpX
144.0	3	RpHit	RpHpH
147.5	3	RpMiss	RpCMpH
151.0	3	RpFA	RpFpF
154.5	3	RpHit	RpHpH
158.0	3	RpCR	RpCMpH
161.5	3	RpMiss	RpCMpH
165.0	3	RpFA	RpFpH
168.5	3	RpCR	RpCMpH
172.0	3	RpHit	RpHpF
175.5	3	RpMiss	RpCMpF
179.0	3	RpHit	RpHpH
182.5	3	RpHit	RpHpH
186.0	3	RpMiss	NRpXpX
189.5	3	RpFA	RpFpH
193.0	3	RpCR	RpCMpF
196.5	3	NR	NRpXpX
200.0	3	RpCR	RpCMpH
203.5	3	RpMiss	RpCMpH
207.0	3	RpHit	RpHpH
210.5	3	RpHit	RpHpH
214.0	3	RpCR	RpCMpH
217.5	3	RpHit	NRpXpX
221.0	3	NR	NRpXpX
224.5	3	RpFA	RpFpF
228.0	3	RpCR	RpCMpH
231.5	3	RpMiss	RpCMpH
235.0	3	RpHit	RpHpF
238.5	3	RpFA	RpFpF
242.0	3	RpFA	RpFpF
245.5	3	NR	NRpXpX
249.0	3	RpMiss	RpCMpH
252.5	3	RpHit	RpHpH
256.0	3	RpMiss	RpCMpH
259.5	3	RpHit	RpHpH
263.0	3	RpFA	RpFpF
266.5	3	RpHit	RpHpF
270.0	3	RpHit	RpHpH
273.5	3	RpMiss	NRpXpX
277.0	3	RpMiss	RpCMpF
280.5	3	RpCR	NRpXpX
284.0	3	NR	NRpXpX
287.5	3	RpFA	RpFpF
291.0	3	RpCR	RpCMpF
294.5	3	RpCR	RpCMpH
298.0	3	RpCR	RpCMpF
301.5	3	RpHit	RpHpH
305.0	3	RpMiss	RpCMpF
308.5	3	RpHit	RpHpF
312.0	3	RpHit	RpHpF
315.5	3	RpMiss	RpCMpH
319.0	3	RpFA	RpFpF
322.5	3	RpHit	RpHpH
326.0	3	RpHit	RpHpH
329.5	3	RpMiss	RpCMpH
333.0	3	RpHit	RpHpH
336.5	3	RpFA	RpFpH
340.0	3	RpFA	RpFpH
343.5	3	NR	NRpXpX
347.0	3	RpFA	RpFpF
350.5	3	RpMiss	RpCMpF
354.0	3	RpFA	RpFpH
357.5	3	RpMiss	RpCMpF
361.0	3	RpMiss	NRpXpX
364.5	3	RpCR	NRpXpX
368.0	3	RpMiss	RpCMpF
371.5	3	NR	NRpXpX
375.0	3	RpMiss	RpCMpH
378.5	3	RpCR	NRpXpX
382.0	3	RpFA	RpFpH
385.5	3	RpHit	RpHpH
389.0	3	RpHit	RpHpH
392.5	3	RpCR	RpCMpH
396.0	3	RpFA	RpFpH
399.5	3	NR	NRpXpX
403.0	3	RpCR	NRpXpX
406.5	3	RpFA	RpFpF
410.0	3	RpMiss	NRpXpX
413.5	3	RpCR	RpCMpF
417.0	3	RpFA	RpFpF
420.5	3	RpCR	RpCMpH
424.0	3	RpMiss	RpCMpF
427.5	3	RpHit	RpHpH
431.0	3	RpMiss	RpCMpF
434.5	3	RpHit	RpHpF
438.0	3	RpCR	RpCMpH
441.5	3	RpCR	RpCMpH
445.0	3	RpMiss	RpCMpH
448.5	3	NR	NRpXpX
452.0	3	RpMiss	NRpXpX
455.5	3	RpFA	RpFpH
459.0	3	RpMiss	NRpXpX
462.5	3	NR	NRpXpX
466.0	3	RpMiss	RpCMpF
469.5	3	RpFA	RpFpF
473.0	3	RpHit	RpHpH
476.5	3	RpMiss	RpCMpF
480.0	3	NR	NRpXpX
483.5	3	RpHit	RpHpF
487.0	3	RpHit	RpHpH
490.5	3	RpMiss	RpCMpF
494.0	3	RpFA	RpFpF
497.5	3	RpMiss	NRpXpX
501.0	3	RpMiss	RpCMpF
504.5	3	RpMiss	NRpXpX
508.0	3	RpHit	RpHpF
511.5	3	NR	NRpXpX
515.0	3	RpMiss	RpCMpF
518.5	3	RpCR	RpCMpH
522.0	3	RpMiss	RpCMpH
525.5	3	RpFA	NRpXpX
529.0	3	RpCR	RpCMpH
532.5	3	RpCR	RpCMpF
536.0	3	NR	NRpXpX
539.5	3	RpHit	RpHpH
543.0	3	RpHit	RpHpH
546.5	3	NR	NRpXpX
550.0	3	NR	NRpXpX
553.5	3	RpMiss	RpCMpH
557.0	3	NR	NRpXpX
560.5	3	RpHit	NRpXpX
564.0	3	RpFA	RpFpF
567.5	3	RpCR	RpCMpF
571.0	3	RpCR	RpCMpH
574.5	3	RpMiss	RpCMpF
578.0	3	NR	NRpXpX
581.5	3	RpCR	RpCMpF
585.0	3	NR	NRpXpX
588.5	3	RpMiss	RpCMpH
592.0	3	RpFA	RpFpH
595.5	3	RpHit	RpHpF
599.0	3	RpMiss	RpCMpF
602.5	3	RpHit	RpHpH
606.0	3	NR	NRpXpX
609.5	3	RpMiss	RpCMpH
613.0	3	RpHit	RpHpH
616.5	3	NR	NRpXpX
620.0	3	RpCR	RpCMpH
623.5	3	RpMiss	RpCMpF
627.0	3	NR	NRpXpX
630.5	3	RpHit	RpHpF
634.0	3	RpCR	RpCMpF
637.5	3	RpMiss	NRpXpX
641.0	3	RpMiss	RpCMpH
644.5	3	NR	NRpXpX
648.0	3	RpMiss	NRpXpX
651.5	3	RpMiss	RpCMpH
655.0	3	NR	NRpXpX
658.5	3	RpMiss	NRpXpX
662.0	3	RpFA	RpFpF
665.5	3	RpMiss	RpCMpH
669.0	3	RpHit	NRpXpX
672.5	3	RpHit	RpHpH
676.0	3	RpFA	RpFpF
679.5	3	RpFA	RpFpF
683.0	3	RpCR	RpCMpH
686.5	3	RpMiss	RpCMpF
690.0	3	RpCR	RpCMpF
693.5	3	RpCR	RpCMpH
697.0	3	RpHit	RpHpF
700.5	3	RpFA	RpFpF
704.0	3	RpMiss	RpCMpF
707.5	3	RpHit	RpHpH
711.0	3	RpFA	RpFpH
714.5	3	RpFA	RpFpF
718.0	3	RpCR	RpCMpH
721.5	3	RpCR	RpCMpH
725.0	3	RpHit	RpHpH
728.5	3	RpFA	RpFpF
732.0	3	RpMiss	RpCMpF
735.5	3	RpMiss	RpCMpF
739.0	3	RpHit	RpHpH
742.5	3	RpHit	NRpXpX
746.0	3	RpFA	RpFpF
749.5	3	RpMiss	NRpXpX
753.0	3	RpFA	RpFpF
